GeneWeaver ID	Entrez	Ensembl Gene	Ensembl Protein	Ensembl Transcript	Unigene	Unannotated	MGI	HGNC	RGD	ZFIN	FlyBase	Wormbase	SGD	miRBase	CGNC
65066	1278	ENSG00000164692	-	-	Hs.233757|Hs.489142|Hs.354805|Hs.89902|Hs.1278|Hs.234351|Hs.234422|Hs.215385|Hs.114489|Hs.671904|Hs.433177|Hs.378692|Hs.168571|Hs.360149|Hs.39|Hs.726977|Hs.76401|Hs.407302|Hs.179824|Hs.3208|Hs.232115|Hs.179573|Hs.265637|Hs.27505|Hs.236237|Hs.53729|Hs.76133|Hs.90283|Hs.125924|Hs.54253|Hs.237397|Hs.741505|Hs.15031|Hs.234412|Hs.102772|Hs.239258|Hs.239230|Hs.234346|Hs.446326|Hs.18325|Hs.703390|Hs.123815|Hs.227280|Hs.278139|Hs.298385|Hs.168990	-	-	HGNC:2198	-	-	-	-	-	-	-
65243	22943	ENSG00000107984	-	-	Hs.720381|Hs.75389|Hs.726439|Hs.728292|Hs.40499	-	-	HGNC:2891	-	-	-	-	-	-	-
65469	5268	ENSG00000206075	-	-	Hs.59495|Hs.55279|Hs.387|Hs.94960|Hs.554190|Hs.58230|Hs.514912	-	-	HGNC:8949	-	-	-	-	-	-	-
65516	4212	ENSG00000134138	-	-	Hs.68372|Hs.510987|Hs.6319|Hs.104105|Hs.124720|Hs.255914|Hs.45258|Hs.45201|Hs.61855|Hs.256323|Hs.362805|Hs.172962|Hs.64442|Hs.353154|Hs.510989|Hs.64696|Hs.186567|Hs.64686|Hs.86011|Hs.283312|Hs.165613|Hs.234313|Hs.214335	-	-	HGNC:7001	-	-	-	-	-	-	-
65563	8218	ENSG00000070371	-	-	Hs.181932|Hs.137066|Hs.274286|Hs.267482|Hs.54502|Hs.184916|Hs.152331|Hs.368266|Hs.517358|Hs.26886|Hs.300791|Hs.400765|Hs.198085	-	-	HGNC:2093	-	-	-	-	-	-	-
65783	9734	ENSG00000048052	-	-	Hs.116753|Hs.196054|Hs.102492|Hs.146466|Hs.248702|Hs.44261|Hs.157272|Hs.323998|Hs.348116|Hs.545167|Hs.430453|Hs.293328|Hs.583451|Hs.249120|Hs.684195|Hs.139768|Hs.487662|Hs.487661|Hs.529579	-	-	HGNC:14065	-	-	-	-	-	-	-
66346	22800	ENSG00000133818	-	-	Hs.502010|Hs.406661|Hs.107160|Hs.123949|Hs.502004|Hs.17994|Hs.109397|Hs.206097|Hs.165915|Hs.48641|Hs.75760|Hs.524814|Hs.198227|Hs.28492|Hs.350127	-	-	HGNC:17271	-	-	-	-	-	-	-
66419	1404	ENSG00000145681	-	-	Hs.153643|Hs.6886|Hs.591758|Hs.263395|Hs.64030|Hs.2799|Hs.77973|Hs.106939|Hs.43227|Hs.703973|Hs.98444|Hs.443012|Hs.698133|Hs.23907|Hs.8056	-	-	HGNC:2380	-	-	-	-	-	-	-
66423	558	ENSG00000167601	-	-	Hs.619019|Hs.82377|Hs.301843|Hs.83841|Hs.31126|Hs.78703|Hs.374079|Hs.75097|Hs.20551|Hs.132189|Hs.230765|Hs.52774|Hs.644129|Hs.135476|Hs.135475|Hs.326938|Hs.429194|Hs.84007|Hs.460600|Hs.421612|Hs.83473|Hs.572177|Hs.83341|Hs.583291|Hs.695208|Hs.83641|Hs.466792|Hs.466791|Hs.83691|Hs.194653|Hs.106956|Hs.80451|Hs.166548|Hs.115255|Hs.77782|Hs.83522|Hs.83443|Hs.228236|Hs.106992|Hs.2054|Hs.83317|Hs.83316|Hs.671009|Hs.590970	-	-	HGNC:905	-	-	-	-	-	-	-
66673	11339	ENSG00000104147	-	-	Hs.356459|Hs.511092|Hs.661645|Hs.116206|Hs.191583|Hs.525815	-	-	HGNC:20300	-	-	-	-	-	-	-
66775	8420	ENSG00000242125	-	-	-	-	-	HGNC:10118	-	-	-	-	-	-	-
66831	10085	ENSG00000164176	-	-	Hs.265584|Hs.133390|Hs.301362|Hs.374626|Hs.226924|Hs.204688|Hs.349264|Hs.243798|Hs.397956|Hs.222151|Hs.155363|Hs.380056|Hs.40655|Hs.129764|Hs.90002|Hs.574734|Hs.218390|Hs.69596|Hs.441044|Hs.384848|Hs.591765|Hs.281041|Hs.482730	-	-	HGNC:3173	-	-	-	-	-	-	-
66940	301	ENSG00000135046	-	-	Hs.251818|Hs.78225|Hs.414364|Hs.289760|Hs.402727|Hs.287558|Hs.423061|Hs.263866|Hs.264417|Hs.32498|Hs.416448|Hs.171472|Hs.537170|Hs.224788|Hs.413069|Hs.72277|Hs.264038|Hs.12712|Hs.93261|Hs.494173|Hs.358966|Hs.2800|Hs.38151|Hs.264734|Hs.213598|Hs.340516|Hs.273176|Hs.217125|Hs.29388|Hs.254177	-	-	HGNC:533	-	-	-	-	-	-	-
67097	5467	ENSG00000112033	-	-	Hs.75172|Hs.443686|Hs.343438|Hs.372635|Hs.263894|Hs.302840|Hs.170490|Hs.159443|Hs.542100|Hs.999|Hs.529916|Hs.258662|Hs.557964|Hs.112708|Hs.109082|Hs.236873|Hs.152134|Hs.106415|Hs.696032	-	-	HGNC:9235	-	-	-	-	-	-	-
67153	5754	ENSG00000112655	-	-	Hs.90572|Hs.88059|Hs.9374|Hs.95328|Hs.98047|Hs.167110|Hs.99347|Hs.90571|Hs.197078|Hs.97595|Hs.520137|Hs.92390|Hs.266006|Hs.157682|Hs.433232|Hs.83009|Hs.423469|Hs.397227	-	-	HGNC:9618	-	-	-	-	-	-	-
67259	126353	ENSG00000099812	-	-	Hs.139085|Hs.441738|Hs.439180|Hs.169508|Hs.71779|Hs.143140|Hs.154661	-	-	HGNC:27000	-	-	-	-	-	-	-
67312	847	ENSG00000121691	-	-	Hs.25087|Hs.107514|Hs.102752|Hs.502301|Hs.47856|Hs.2579|Hs.555136|Hs.31374|Hs.76359|Hs.502302|Hs.141604|Hs.395771|Hs.287482|Hs.418115|Hs.372426|Hs.418170	-	-	HGNC:1516	-	-	-	-	-	-	-
67954	8412	ENSG00000137936	-	-	Hs.36958|Hs.483035|Hs.6564|Hs.513945|Hs.736875|Hs.201993|Hs.453517	-	-	HGNC:973	-	-	-	-	-	-	-
68241	7718	ENSG00000197279	-	-	Hs.55481|Hs.535177|Hs.83246|Hs.264899|Hs.138053|Hs.198196|Hs.215628|Hs.352115|Hs.2822	-	-	HGNC:12953	-	-	-	-	-	-	-
68720	23353	ENSG00000164828	-	-	Hs.457735|Hs.255610|Hs.262684|Hs.594787|Hs.602725|Hs.422022|Hs.288985|Hs.63238|Hs.44074|Hs.381143|Hs.7531|Hs.339856|Hs.438072|Hs.167946	-	-	HGNC:18587	-	-	-	-	-	-	-
68894	7045	ENSG00000120708	-	-	Hs.103908|Hs.546290|Hs.28543|Hs.83104|Hs.277477|Hs.137395|Hs.421496|Hs.301188|Hs.690893|Hs.73813|Hs.2026|Hs.226580|Hs.192626|Hs.264101|Hs.72175|Hs.522537|Hs.355214|Hs.706642|Hs.19021|Hs.201321|Hs.248038|Hs.118787|Hs.85917|Hs.196000|Hs.508908|Hs.147931|Hs.369397|Hs.133834	-	-	HGNC:11771	-	-	-	-	-	-	-
69045	115353	ENSG00000116212	-	-	Hs.3356|Hs.339291|Hs.423049|Hs.40094|Hs.69769	-	-	HGNC:28792	-	-	-	-	-	-	-
69053	1029	ENSG00000147889	-	-	Hs.128294|Hs.265408|Hs.414690|Hs.1174|Hs.184161|Hs.157559|Hs.352744|Hs.421349|Hs.103655|Hs.84248|Hs.234830|Hs.512599|Hs.433853|Hs.423848	-	-	HGNC:1787	-	-	-	-	-	-	-
69097	4507	ENSG00000099810	-	-	Hs.148225|Hs.262740|Hs.150424|Hs.272996|Hs.446152|Hs.134195|Hs.530240|Hs.283962|Hs.372243|Hs.193268|Hs.140108|Hs.287044|Hs.291561|Hs.130903|Hs.530241|Hs.137844|Hs.118190|Hs.50522|Hs.152817|Hs.150414|Hs.116859|Hs.381494|Hs.3245|Hs.105683|Hs.130387|Hs.296637|Hs.348272	-	-	HGNC:7413	-	-	-	-	-	-	-
69356	254531	ENSG00000176454	-	-	Hs.118999|Hs.288898|Hs.352614|Hs.12434|Hs.190640|Hs.92693|Hs.375618|Hs.286086|Hs.370154|Hs.452662|Hs.168694|Hs.417938|Hs.187813|Hs.51600|Hs.321149|Hs.152878|Hs.410287	-	-	HGNC:30059	-	-	-	-	-	-	-
69415	765	ENSG00000131686	-	-	Hs.381857|Hs.73855|Hs.1292|Hs.375088|Hs.434512|Hs.75754|Hs.100322	-	-	HGNC:1380	-	-	-	-	-	-	-
69621	5646	ENSG00000010438	-	-	Hs.418386|Hs.646174|Hs.239951|Hs.367767|Hs.419094|Hs.2003|Hs.278310|Hs.447753|Hs.147431|Hs.181292|Hs.241561|Hs.2048|Hs.204509|Hs.712801|Hs.432212|Hs.435699|Hs.60370|Hs.51113|Hs.355448|Hs.654513|Hs.54501|Hs.226337|Hs.240204|Hs.349454|Hs.58247|Hs.220550|Hs.511525	-	-	HGNC:9486	-	-	-	-	-	-	-
69976	6038	ENSG00000258818	-	-	-	-	-	HGNC:10047	-	-	-	-	-	-	-
69982	3625	ENSG00000163083	-	-	Hs.98167|Hs.64815|Hs.1735|Hs.94650|Hs.109893	-	-	HGNC:6067	-	-	-	-	-	-	-
70001	9984	ENSG00000079134	-	-	Hs.647587|Hs.75981|Hs.371881|Hs.299782|Hs.712543|Hs.80155|Hs.592342|Hs.99930|Hs.265703|Hs.404769|Hs.346642|Hs.351458|Hs.1540|Hs.432366|Hs.259399|Hs.151538|Hs.464416|Hs.535531|Hs.654460|Hs.112826|Hs.652317|Hs.699172	-	-	HGNC:19070	-	-	-	-	-	-	-
70032	928	ENSG00000010278	-	-	Hs.273506|Hs.134751|Hs.111515|Hs.1244|Hs.130989|Hs.51247|Hs.114286|Hs.230559|Hs.5853|Hs.99999|Hs.83254|Hs.289711|Hs.265898|Hs.306745|Hs.117582|Hs.31146|Hs.547626|Hs.553024|Hs.387579	-	-	HGNC:1709	-	-	-	-	-	-	-
70045	6385	ENSG00000124145	-	-	Hs.149180|Hs.303687|Hs.357925|Hs.82239|Hs.273082|Hs.504789|Hs.89400|Hs.326823|Hs.451706|Hs.408643|Hs.15423|Hs.251374|Hs.448847|Hs.504792|Hs.101823|Hs.263423|Hs.63720|Hs.133364|Hs.75|Hs.289531|Hs.339974|Hs.252189|Hs.72082|Hs.632267	-	-	HGNC:10661	-	-	-	-	-	-	-
70102	51599	ENSG00000105699	-	-	Hs.56977|Hs.361379|Hs.312129|Hs.5292|Hs.95697|Hs.279006|Hs.30603|Hs.21040|Hs.726612|Hs.91337|Hs.410853|Hs.80629|Hs.466507|Hs.114946	-	-	HGNC:29572	-	-	-	-	-	-	-
70289	2812	ENSG00000203618	-	-	Hs.454|Hs.517410|Hs.89453|Hs.178382|Hs.512000|Hs.283743|Hs.3847	-	-	HGNC:4440	-	-	-	-	-	-	-
70305	26509	ENSG00000138119	-	-	Hs.56168|Hs.174910|Hs.523156|Hs.234680|Hs.423106|Hs.43087|Hs.655278|Hs.213191|Hs.94253|Hs.32227|Hs.362731|Hs.8076|Hs.602086|Hs.80452|Hs.107628|Hs.376429|Hs.555505	-	-	HGNC:3656	-	-	-	-	-	-	-
70515	2152	ENSG00000117525	-	-	Hs.364202|Hs.62192|Hs.54625|Hs.455129|Hs.536756|Hs.1102|Hs.253360|Hs.556944|Hs.572969|Hs.52234|Hs.253114|Hs.549817|Hs.79009|Hs.73976|Hs.73977|Hs.24868	-	-	HGNC:3541	-	-	-	-	-	-	-
70519	10551	ENSG00000106541	-	-	Hs.134227|Hs.256309|Hs.530009|Hs.87941|Hs.411004|Hs.103486|Hs.63231|Hs.62954|Hs.161554|Hs.549709|Hs.424389|Hs.293380|Hs.374518|Hs.25615|Hs.412581|Hs.122576|Hs.413945|Hs.91011|Hs.267112|Hs.226391	-	-	HGNC:328	-	-	-	-	-	-	-
70662	23002	ENSG00000100592	-	-	Hs.112262|Hs.153140|Hs.648502|Hs.101088|Hs.595788|Hs.71785|Hs.4807|Hs.724011|Hs.699947|Hs.69362|Hs.197751|Hs.153858|Hs.186257|Hs.731788|Hs.61235|Hs.151942|Hs.90371|Hs.740764|Hs.25649|Hs.204200|Hs.16246|Hs.653651|Hs.78488|Hs.416209|Hs.574538|Hs.184541|Hs.694030|Hs.219791|Hs.165896|Hs.594603|Hs.648594|Hs.356537|Hs.88519|Hs.716797|Hs.417656|Hs.102640|Hs.727657|Hs.440952|Hs.102742|Hs.19156	-	-	HGNC:18142	-	-	-	-	-	-	-
71010	323	ENSG00000163697	-	-	Hs.479602|Hs.15740|Hs.651441|Hs.128487|Hs.24463|Hs.24957|Hs.78299|Hs.98549|Hs.47523|Hs.536919|Hs.63227|Hs.696751|Hs.183598|Hs.324125|Hs.286133|Hs.175098|Hs.281743|Hs.914|Hs.643822|Hs.119327|Hs.8911|Hs.188774|Hs.268117|Hs.65778|Hs.697321|Hs.227696|Hs.168292|Hs.644011|Hs.336941|Hs.707044|Hs.163545|Hs.247464|Hs.174060|Hs.653483|Hs.720643|Hs.507486|Hs.27434|Hs.479612|Hs.117986|Hs.137087|Hs.586154|Hs.306712|Hs.653320|Hs.165982|Hs.598071	-	-	HGNC:582	-	-	-	-	-	-	-
