GeneWeaver ID	Entrez	Ensembl Gene	Ensembl Protein	Ensembl Transcript	Unigene	Gene Symbol	Unannotated	MGI	HGNC	RGD	ZFIN	FlyBase	Wormbase	SGD	miRBase	CGNC
65239	595	ENSG00000110092	-	-	Hs.726542|Hs.523852|Hs.66882|Hs.179245|Hs.371468|Hs.433664|Hs.1356|Hs.286|Hs.414287|Hs.694962|Hs.193545|Hs.458172|Hs.653187|Hs.307953|Hs.82932|Hs.406400|Hs.226863|Hs.145678|Hs.713628|Hs.221829|Hs.116882|Hs.80492|Hs.358721|Hs.702537|Hs.632135|Hs.340376|Hs.240256|Hs.274766|Hs.61374|Hs.523854|Hs.168001|Hs.523850|Hs.231097|Hs.523853|Hs.643520|Hs.386426|Hs.77251|Hs.85130|Hs.523851|Hs.503066	BCL1|D11S287E|U21B31|PRAD1|CCND1	-	-	HGNC:1582	-	-	-	-	-	-	-	
65265	1027	ENSG00000111276	-	-	Hs.3561|Hs.409715|Hs.697066|Hs.241162|Hs.702792|Hs.280793|Hs.227101|Hs.234445|Hs.238990|Hs.173271|Hs.182603|Hs.205843|Hs.89961|Hs.263366|Hs.74278|Hs.218102	MEN1B|CDKN4|P27KIP1|KIP1|MEN4|CDKN1B	-	-	HGNC:1785	-	-	-	-	-	-	-	
65297	6502	ENSG00000145604	-	-	Hs.350131|Hs.23348|Hs.32975|Hs.356392|Hs.658694|Hs.334719|Hs.406143|Hs.409150|Hs.159269|Hs.412546	FBL1|FLB1|FBXL1|SKP2	-	-	HGNC:10901	-	-	-	-	-	-	-	
65374	11315	ENSG00000116288	-	-	Hs.552583|Hs.10958|Hs.229998|Hs.462375|Hs.378827|Hs.418617|Hs.438904|Hs.450837|Hs.75784|Hs.266959|Hs.331098|Hs.419640	DJ1|GATD2|DJ-1|HEL-S-67p|PARK7	-	-	HGNC:16369	-	-	-	-	-	-	-	
66397	1051	ENSG00000172216	-	-	Hs.693759|Hs.711943|Hs.642680|Hs.701858|Hs.712709|Hs.80454|Hs.592138|Hs.70267|Hs.517106|Hs.706951|Hs.595794|Hs.95773|Hs.716248|Hs.97746|Hs.103048|Hs.688479|Hs.414460|Hs.31384|Hs.76722|Hs.93683|Hs.94618|Hs.99029|Hs.104708|Hs.734492|Hs.705744|Hs.660297|Hs.94957|Hs.710062|Hs.633784|Hs.81994|Hs.236092|Hs.719041|Hs.720603|Hs.741084	CEBPB|TCF5|C/EBP-beta|NF-IL6|IL6DBP	-	-	HGNC:1834	-	-	-	-	-	-	-	
66763	64714	ENSG00000185615	-	-	Hs.66581|Hs.306284|Hs.194760|Hs.41729|Hs.121516	PDIP|PDIA2	-	-	HGNC:14180	-	-	-	-	-	-	-	
67869	5710	ENSG00000159352	-	-	Hs.505059|Hs.527729|Hs.349850|Hs.84676|Hs.8939|Hs.17971|Hs.500589|Hs.84520|Hs.355544|Hs.111709|Hs.433790|Hs.148495	PSMD4|S5A|AF|Rpn10|pUB-R5|MCB1	-	-	HGNC:9561	-	-	-	-	-	-	-	
68442	2939	ENSG00000244067	-	-	Hs.77036|Hs.716665|Hs.89552|Hs.48418|Hs.877|Hs.378199|Hs.94107|Hs.37236	GTH2|GTA2|GSTA2-2|GSTA2	-	-	HGNC:4627	-	-	-	-	-	-	-	
68815	7040	ENSG00000105329	-	-	Hs.89518|Hs.452388|Hs.45771|Hs.95800|Hs.71871|Hs.711237|Hs.71779|Hs.1103|Hs.645227	IBDIMDE|TGFB|TGFB1|TGF-beta1|CED|DPD1|TGFbeta	-	-	HGNC:11766	-	-	-	-	-	-	-	
70026	1317	ENSG00000136868	-	-	Hs.385995|Hs.250583|Hs.39053|Hs.240010|Hs.541957|Hs.85780|Hs.159755|Hs.104049|Hs.124081|Hs.139757|Hs.253526|Hs.53409|Hs.380728|Hs.129005|Hs.414471|Hs.53798|Hs.73614|Hs.350222|Hs.56825|Hs.532315|Hs.271914|Hs.50255|Hs.260080|Hs.104080	SLC31A1|COPT1	-	-	HGNC:11016	-	-	-	-	-	-	-	
