GeneWeaver ID	Entrez	Ensembl Gene	Ensembl Protein	Ensembl Transcript	Unigene	Gene Symbol	Unannotated	MGI	HGNCUnigene	RGD	ZFIN	FlyBase	Wormbase	SGD	miRBase	CGNC
66948	28898	ENSG00000224607	-	-	-	A4a|IGKV1D27|IGKV1D-27	-	-	HGNC:5751	-	-	-	-	-	-	-
68870	3156	ENSG00000113161	-	-	Hs.78972|Hs.698445|Hs.73887|Hs.39751|Hs.548370|Hs.77726|Hs.76949|Hs.82369|Hs.76709|Hs.713530|Hs.23121|Hs.416220|Hs.591772|Hs.1491|Hs.800|Hs.410437|Hs.411181|Hs.51646|Hs.652199|Hs.628096|Hs.51597|Hs.101721|Hs.62320|Hs.699171|Hs.420494|Hs.646955|Hs.76858|Hs.77582	HMGCR|LDLCQ3	-	-	HGNC:5006	-	-	-	-	-	-	-
72349	19	ENSG00000165029	-	-	Hs.102532|Hs.719214|Hs.96665|Hs.97267|Hs.431807|Hs.214266|Hs.407188|Hs.530276|Hs.659274|Hs.201665|Hs.728215|Hs.220089|Hs.227895|Hs.19067|Hs.156627|Hs.147259|Hs.44830|Hs.558324|Hs.269728|Hs.558508|Hs.239694|Hs.211562|Hs.726184|Hs.206702|Hs.418482|Hs.183722	ABCA1|HDLCQTL13|ABC-1|ABC1|CERP|HPALP1|TGD|HDLDT1	-	-	HGNC:29	-	-	-	-	-	-	-
72527	3575	ENSG00000168685	-	-	Hs.90720|Hs.635723|Hs.412140|Hs.591742|Hs.362807|Hs.218065|Hs.11620|Hs.713603|Hs.702119|Hs.621794|Hs.282980|Hs.593459|Hs.693675|Hs.237868|Hs.706855|Hs.20614|Hs.297971|Hs.413913|Hs.1732|Hs.268427|Hs.109703|Hs.238966	IL7R|CD127|IL-7R-alpha|CDW127|IL7RA|ILRA	-	-	HGNC:6024	-	-	-	-	-	-	-
73356	3569	ENSG00000136244	-	-	Hs.1512|Hs.654458|Hs.93913|Hs.89588|Hs.89587|Hs.89785|Hs.89561|Hs.89683|Hs.89906|Hs.240079	HSF|BSF-2|IL-6|IFN-beta-2|IFNB2|BSF2|CDF|IL6	-	-	HGNC:6018	-	-	-	-	-	-	-
74367	1432	ENSG00000112062	-	-	Hs.143095|Hs.13418|Hs.409416|Hs.79107|Hs.224585|Hs.155251|Hs.169711|Hs.485237|Hs.184105|Hs.113651|Hs.89572|Hs.79205|Hs.485233|Hs.722031|Hs.1534|Hs.588289|Hs.239839|Hs.80231|Hs.671709|Hs.82052|Hs.20714|Hs.267855|Hs.134244	p38ALPHA|CSBP|CSBP1|Mxi2|CSBP2|EXIP|SAPK2A|RK|CSPB1|PRKM15|PRKM14|MAPK14	-	-	HGNC:6876	-	-	-	-	-	-	-
76344	3552	ENSG00000115008	-	-	Hs.1722	IL-1A|IL1F1|IL1-ALPHA|IL1|IL-1 alpha|IL1A	-	-	HGNC:5991	-	-	-	-	-	-	-
76761	3553	ENSG00000125538	-	-	Hs.71246|Hs.126256|Hs.95861|Hs.599253|Hs.643863|Hs.652565|Hs.844|Hs.75717|Hs.151829|Hs.256436|Hs.695036	IL1B|IL1-BETA|IL-1|IL1F2|IL1beta	-	-	HGNC:5992	-	-	-	-	-	-	-
76843	1717	ENSG00000172893	-	-	Hs.8606|Hs.696222|Hs.534311|Hs.433485|Hs.30940|Hs.699458|Hs.84252|Hs.503134|Hs.11806|Hs.111071|Hs.115583|Hs.107440|Hs.693676|Hs.705582|Hs.75538	SLOS|DHCR7	-	-	HGNC:2860	-	-	-	-	-	-	-
77885	1490	ENSG00000118523	-	-	Hs.150014|Hs.273095|Hs.143702|Hs.45581|Hs.289655|Hs.75511|Hs.357178|Hs.96155|Hs.114935|Hs.591346|Hs.263511|Hs.295539|Hs.84240|Hs.683|Hs.237230|Hs.410037|Hs.119802|Hs.7611|Hs.99184|Hs.235529|Hs.520380|Hs.183454|Hs.241845	CCN2|HCS24|CTGF|IGFBP8|NOV2	-	-	HGNC:2500	-	-	-	-	-	-	-
79160	4929	ENSG00000153234	-	-	Hs.82120|Hs.648450|Hs.77246|Hs.563344|Hs.154874|Hs.2849|Hs.133839|Hs.653322|Hs.143465|Hs.147932|Hs.593796|Hs.96084	NOT|HZF-3|NURR1|TINUR|NR4A2	-	-	HGNC:7981	-	-	-	-	-	-	-
79868	84518	ENSG00000105427	-	-	Hs.176914|Hs.148590|Hs.6353	PLAC8L2|CNFN	-	-	HGNC:30183	-	-	-	-	-	-	-
81209	3812	ENSG00000284466|ENSG00000277181|ENSG00000275626|ENSG00000275566|ENSG00000276739|ENSG00000274722|ENSG00000276004|ENSG00000284528|ENSG00000283975|ENSG00000284063|ENSG00000278707|ENSG00000277982|ENSG00000273735|ENSG00000275838|ENSG00000276424|ENSG00000276882|ENSG00000278403|ENSG00000278442|ENSG00000277709|ENSG00000284381|ENSG00000284295|ENSG00000278726|ENSG00000278758|ENSG00000278809|ENSG00000240403|ENSG00000284192|ENSG00000275416|ENSG00000275511|ENSG00000278656|ENSG00000278710|ENSG00000284213|ENSG00000275262|ENSG00000275629|ENSG00000283951|ENSG00000276357|ENSG00000284384|ENSG00000278361|ENSG00000275083|ENSG00000278474|ENSG00000273911|ENSG00000284046|ENSG00000278850	-	-	-	NKAT4|CD158K|KIR-3DL2|p140|3DL2|NKAT-4|NKAT4B|KIR3DL2	-	-	HGNC:6339	-	-	-	-	-	-	-
81726	3576	ENSG00000169429	-	-	Hs.97117|Hs.624|Hs.89697|Hs.632880|Hs.89481|Hs.559623|Hs.590922|Hs.97026|Hs.230924|Hs.97028|Hs.94637|Hs.94755|Hs.74467|Hs.94758|Hs.94639|Hs.90320	LUCT|GCP1|NAF|GCP-1|NAP1|LYNAP|NAP-1|LECT|MDNCF|CXCL8|MONAP|IL8	-	-	HGNC:6025	-	-	-	-	-	-	-
82159	1543	ENSG00000140465	-	-	Hs.513033|Hs.72912|Hs.1357|Hs.98313	CYP1A1|P1-450|P450DX|AHH|P450-C|CYP1|CYPIA1|CP11	-	-	HGNC:2595	-	-	-	-	-	-	-
83472	10682	ENSG00000147155	-	-	Hs.196669|Hs.522636|Hs.522637|Hs.557070|Hs.419531|Hs.34534|Hs.75105|Hs.554143|Hs.679146|Hs.412303|Hs.419314|Hs.536193|Hs.2377|Hs.420138|Hs.412515|Hs.632801|Hs.409509|Hs.614969|Hs.30619|Hs.92912|Hs.650110|Hs.48399|Hs.407892|Hs.700912	CHO2|MEND|CPXD|CDPX2|EBP	-	-	HGNC:3133	-	-	-	-	-	-	-
85813	3757	ENSG00000055118	-	-	Hs.417942|Hs.288032|Hs.244507|Hs.139217|Hs.302044|Hs.408666|Hs.165664|Hs.230770|Hs.77716|Hs.116421|Hs.19944|Hs.286041|Hs.281634|Hs.135014|Hs.647099|Hs.261365|Hs.188021|Hs.154375	HERG|HERG1|SQT1|H-ERG|LQT2|KCNH2|Kv11.1|ERG-1|ERG1	-	-	HGNC:6251	-	-	-	-	-	-	-
87865	7082	ENSG00000277401|ENSG00000104067	-	-	Hs.13378|Hs.743990|Hs.728163|Hs.83608|Hs.151722|Hs.110108|Hs.385693|Hs.69456|Hs.153477|Hs.719113|Hs.58962|Hs.723843|Hs.151771|Hs.414635|Hs.354540|Hs.134767|Hs.33041|Hs.138|Hs.151309|Hs.716406|Hs.74614|Hs.92771|Hs.448130	TJP1|ZO-1	-	-	HGNC:11827	-	-	-	-	-	-	-
89967	1958	ENSG00000120738	-	-	Hs.592987|Hs.77392|Hs.653544|Hs.708393|Hs.634208|Hs.645774|Hs.500905|Hs.102464|Hs.326035|Hs.593399|Hs.214934|Hs.177461|Hs.433513|Hs.726413|Hs.558431|Hs.152109|Hs.76413|Hs.103949|Hs.464213|Hs.727093|Hs.636626	NGFI-A|KROX-24|G0S30|ZIF-268|ZNF225|AT225|TIS8|EGR1	-	-	HGNC:3238	-	-	-	-	-	-	-
90326	6351	ENSG00000275824|ENSG00000277943|ENSG00000275302	-	-	Hs.655293|Hs.2789|Hs.1086|Hs.74072|Hs.515183|Hs.75703|Hs.414359|Hs.182899|Hs.56322|Hs.546570	CCL4|SCYA4|AT744.1|MIP1B1|LAG-1|MIP1B|HC21|ACT2|G-26|MIP-1-beta	-	-	HGNC:10630	-	-	-	-	-	-	-
91611	25805	ENSG00000095739	-	-	Hs.6009|Hs.63605|Hs.719401|Hs.713790|Hs.348802|Hs.52371|Hs.446645|Hs.52490|Hs.533336|Hs.12208|Hs.724758|Hs.710264|Hs.78776|Hs.714756|Hs.727754	BAMBI|NMA	-	-	HGNC:30251	-	-	-	-	-	-	-
91649	23460	ENSG00000154262	-	-	Hs.709514|Hs.174462|Hs.347728|Hs.426143|Hs.416575|Hs.38197|Hs.404444|Hs.15780|Hs.178573|Hs.647403|Hs.408588|Hs.195395|Hs.257777	EST155051|ABCA6	-	-	HGNC:36	-	-	-	-	-	-	-
93768	7852	ENSG00000121966	-	-	Hs.89816|Hs.89414|Hs.158|Hs.421986|Hs.151911|Hs.89413|Hs.593413|Hs.85040	CD184|LAP-3|WHIM|HSY3RR|LESTR|NPYY3R|NPY3R|D2S201E|FB22|WHIMS|NPYRL|HM89|LCR1|CXCR4	-	-	HGNC:2561	-	-	-	-	-	-	-
93952	6721	ENSG00000198911	-	-	Hs.232943|Hs.148058|Hs.65970|Hs.103411|Hs.405358|Hs.272739|Hs.77524|Hs.1175|Hs.537266|Hs.554349|Hs.66471|Hs.143112|Hs.108689|Hs.36362|Hs.517654|Hs.557671|Hs.122249|Hs.443258|Hs.153399|Hs.401799|Hs.61711|Hs.389293|Hs.389781|Hs.505786|Hs.186784|Hs.93096|Hs.17861|Hs.433708|Hs.151705|Hs.41778|Hs.168720|Hs.250829|Hs.451519	bHLHd2|SREBP-2|SREBP2|SREBF2	-	-	HGNC:11290	-	-	-	-	-	-	-
94538	2277	ENSG00000165197	-	-	Hs.92676|Hs.11392|Hs.297067	VEGF-D|FIGF|VEGFD	-	-	HGNC:3708	-	-	-	-	-	-	-
95401	3383	ENSG00000090339	-	-	Hs.643447|Hs.546252|Hs.515126|Hs.1506|Hs.4257|Hs.51061|Hs.51248|Hs.355608|Hs.168383|Hs.82994|Hs.26357|Hs.166095|Hs.700573|Hs.579817|Hs.155044|Hs.707983	CD54|P3.58|ICAM1	-	-	HGNC:5344	-	-	-	-	-	-	-
95515	1593	ENSG00000135929	-	-	Hs.217851|Hs.536271|Hs.516700|Hs.550865|Hs.82568|Hs.1358|Hs.557165|Hs.16488	CYP27A1|CYP27|CTX|CP27	-	-	HGNC:2605	-	-	-	-	-	-	-
95562	9414	ENSG00000119139	-	-	Hs.2070|Hs.38413|Hs.173761|Hs.710833|Hs.299104|Hs.412568|Hs.26402|Hs.289005|Hs.546609|Hs.183842|Hs.318324|Hs.117582|Hs.586720|Hs.163689|Hs.307616|Hs.728367|Hs.108270|Hs.155081|Hs.134480|Hs.407405|Hs.720811|Hs.111515|Hs.494092|Hs.55451|Hs.213904|Hs.75608|Hs.50382|Hs.63408|Hs.724757|Hs.125026	PFIC4|DUP9q21.11|X104|C9DUPq21.11|DFNA51|ZO2|TJP2	-	-	HGNC:11828	-	-	-	-	-	-	-
95916	26154	ENSG00000144452	-	-	Hs.134585|Hs.436811	ABCA12|LI2|ICR2B|ARCI4A|ARCI4B	-	-	HGNC:14637	-	-	-	-	-	-	-
98047	100302150	ENSG00000221063	-	-	-	hsa-mir-1296|MIRN1296|mir-1296|MIR1296	-	-	HGNC:35249	-	-	-	-	-	MI0003780	-
100724	100616384	ENSG00000264419	-	-	-	MIR548AC	-	-	HGNC:41626	-	-	-	-	-	MI0016762	-
101451	677840	ENSG00000200354	-	-	Hs.653086	SNORA71D|U71d	-	-	HGNC:32657	-	-	-	-	-	-	-
